Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1655611200,658152217.38,60293522986.8,628252505.5
1655614800,1256787459.26,110438290908.65,1199739226.41
1655618400,1018189198.2,88129504785.76,972643527.29
1655622000,915051289.39,79180952116.68,874352247.66
1655625600,921445899.28,78153086219.78,880195456.92
1655629200,1562591687.87,130463950703.41,1492945955.05
1655632800,2750659386.95,243971164644.53,2625691499.02
1655636400,1278319270.94,105076589523.08,1220331208.55
1655640000,1517862351.42,135002868203.09,1449830860.12
1655643600,882068866.2,77707272497.64,842212440.91
1655647200,787813381.13,72108732585.23,751823870.7
1655650800,1320028448.92,130150000660.75,1260324982.4
1655654400,960966297.44,85123433103.43,917342997.5
1655658000,683412674.76,59581022838.41,652461139.89
1655661600,1129189444.55,110176502208.18,1079943071.42
1655665200,1762543524.37,151232039956.18,1683143108.06
1655668800,1941114988.89,147820201856.45,1851005147.52
1655672400,904151862.91,79890968217.74,863528999.68
1655676000,1166857366.32,91730031250,1113967806.02
1655679600,746235403.89,64405020651.01,712229532.19
1655683200,1265950127.11,115907378935.42,1208432535.19
1655686800,1206821551.69,106983647404,1151791524.4
1655690400,1049386765.85,93627991227.41,998901373.14
1655694000,856485395.99,69959730485.95,814481227.79
1655697600,753451059.21,62687915413.29,716376906.35
1655701200,871278581.03,71918045433.79,828059286.35
1655704800,854575503.74,81504734492.67,812135041.94
1655708400,909425364.32,75372024411.71,865113597.24
1655712000,1747563394.83,146662408488.39,1661678392.74
1655715600,1741962625.14,152086559582.68,1654743500.55
1655719200,1718429056.82,147854166347.42,1632141017.04
1655722800,1191070914.89,97649875056.46,1132590070.11
1655726400,1355125194.79,117468316124.86,1289210027.29
1655730000,1264185719.52,109941251249.11,1202300566.96
1655733600,1129201244.52,91647073982.63,1072306421.86
1655737200,1299558767.07,103061806249.23,1233845935.59
1655740800,1188629386.22,104232824015.63,1131023145.84
1655744400,1100645622.38,93590577600,1049837257.96
1655748000,1070922065.86,102919658702.44,1020565294.34
1655751600,788937840.98,65208876699.4,751326771.36
1655755200,862266309.55,73863492388.65,820895834.21
1655758800,647875725.45,55595416971.07,616500051.16
1655762400,731306668.33,64605045472.59,695559045.57
1655766000,838807997.65,73810069535.51,797732715.42
1655769600,973524829.53,83293913870.41,924596073.22
1655773200,894870802.41,75810643250.28,849731378.82
1655776800,766367903.84,62920871603.51,727767378.94
1655780400,840127507.2,71838610634.73,797876671.63
1655784000,784271709.51,64523432177.86,745377817.83
1655787600,1335045475.1,112500976105.36,1269544752.31
1655791200,1206958623.62,105498945498.84,1146354957.55
1655794800,1034786467.58,88704877579.31,980447074.59
1655798400,1529922690.85,129885590438.7,1447639138.24
1655802000,1201719496.8,102578704670.84,1137790799.09
1655805600,1061166116.78,90349548251,1005555328.55
1655809200,1282191731.76,111438074437.96,1216240051.15
1655812800,1190876203.32,105803099012.66,1128684946.24
1655816400,2082143890.7,186140594020.46,1972070644.9
1655820000,1929637755.94,167529437920.46,1826877373.15
1655823600,1322783319.68,113847321289.82,1254638211.58
1655827200,992237571.58,88989110684.07,942172511.09
1655830800,1020742390.7,89455735999.35,968864339.53
1655834400,991731833.32,90855901816,941844473.39
1655838000,1201007488.86,99942654294.62,1140757085.26
1655841600,1088564253.43,96738296274.59,1033558591.26
1655845200,599680308.17,49489977054.89,569452833.31
1655848800,744492981.41,67186224424.6,706684800.82
1655852400,857987843.29,71713109225.48,815088057.34
1655856000,1226454252.47,114396102924.76,1167081330.82
1655859600,1005512443.47,83773391530,957955388.65
1655863200,974790337.44,80167291945.23,927891765.72
1655866800,849276161.47,77550995851.71,807987657.7
1655870400,875382606.95,77908034841.89,833970393.36
1655874000,787729502.82,79382168469.74,750814424.79
1655877600,1314686134.64,117175563034.23,1253824921.05
1655881200,1087142183.32,95946571568.06,1035390576.79
1655884800,843254237.62,74054213794.1,803041534.73
1655888400,1073709965.72,93373294417.32,1020802056.09
1655892000,804625611.79,177770247811.79,765266555.53
1655895600,915266063.06,80638043822.72,871061832.77
1655899200,1232516311.01,119267178003.66,1170519731.06
1655902800,1534196373.08,126403384707.61,1453689511.63
1655906400,1711593010.96,148408306966.33,1616044252.23
1655910000,1522156899.94,147614901023.54,1439792899.64
1655913600,1640921698.97,143931415444.06,1551659970.39
1655917200,965929903.54,85642753040.61,913574906.22
1655920800,725313299.57,60540342099.56,686475966.04
1655924400,950287027.11,86352017368.9,899689861.59
1655928000,1169647645.95,109900951681.3,1107479468.64
